representacion,P@1,P@10,n_queries
Static,0.9634,0.9453199999999999,5000
Acumulativo,0.9402,0.786,5000
EMA(a0.6),0.9634,0.8817799999999999,5000
Contextual-AR (v1),0.9794,0.9649199999999999,5000
Contextual-Bidi (v1),0.9822,0.9688399999999999,5000
Contextual-AR (v2),0.98,0.9624799999999999,5000
Contextual-Bidi (v2),0.9778,0.9578200000000001,5000
Random,0.3222,0.32924000000000003,5000
